Pose,Image_Name,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_knee_angle,right_knee_angle,angle_for_ardhaChandrasana1,angle_for_ardhaChandrasana2,hand_angle,left_hip_angle,right_hip_angle,neck_angle_uk,left_wrist_angle_bk,right_wrist_angle_bk,Label,left_elbow_angle_corrected,right_elbow_angle_corrected,left_shoulder_angle_corrected,right_shoulder_angle_corrected,left_knee_angle_corrected,right_knee_angle_corrected,angle_for_ardhaChandrasana1_corrected,angle_for_ardhaChandrasana2_corrected,hand_angle_corrected,left_hip_angle_corrected,right_hip_angle_corrected,neck_angle_uk_corrected,left_wrist_angle_bk_corrected,right_wrist_angle_bk_corrected
Downward_dog,downward_dog7.jpg,170.0,170.0,160.0,123.34713094620132,151.844790984633,170.0,348.3333310940477,15.397331594197404,288.8314800243564,30.0,137.9469287061593,228.7450970833312,66.47574703662525,11.663132497289624,0,166.79150743278933,168.82415083754734,128.6503089735738,182.78004491281632,183.3742088216618,180.57484661720613,289.9844976331023,44.89984649223462,183.23958104578404,63.15211116696777,105.75338070975683,318.19845231914405,243.08463335775096,115.4405479330405
Downward_dog,downward_dog8.jpg,132.74168610324062,170.0,160.0,160.0,130.2127737343544,142.92420880139312,391.07101701581126,8.116452343403779,28.54539763245608,30.0,131.50582988774704,70.0,105.00568844865214,127.10743120291704,0,173.0913368649933,206.19542903564096,180.79091819685405,177.46733579908556,200.01549259542344,178.6987175950844,341.23768361572735,2.3733221602814507,96.57223130760681,102.68897978803005,227.97419923123883,318.18974560167493,248.80705940671072,124.22252630598317
Downward_dog,downward_dog9.jpg,167.08291928722966,170.0,160.0,160.0,170.0,170.0,344.09056676747537,2.1918858011094025,-1.8294787515903312,92.67603234538612,71.44083072008591,300.0,64.93395760657279,71.56784219523584,0,170.9930726373602,169.70848743810782,180.02465062666155,193.25979073752782,171.50037646244124,174.271505686039,354.12025907597393,66.92828939789048,187.89314935678132,72.2621544817574,115.26234764944779,161.27858918702336,83.77338326614746,76.64063568932906
Natarajasana,download (1).jpeg,162.77673973045438,166.31096468046405,160.0,68.56532125246028,170.0,170.0,193.06249964749608,168.10975343169343,207.08723378086856,121.01022782592078,160.0,231.32114066915045,141.09331446972354,330.0,0,161.3056119518168,182.30892183487842,123.94198592489047,81.6656822668491,179.1723128877301,189.72507202653316,205.38801699973038,188.03153073213107,206.87118898627043,150.36852050259495,247.32083437479852,299.04337105635113,117.73345413261175,218.83177476760005
Natarajasana,download.jpeg,170.0,140.48998583299684,144.97882808426365,125.50620954640992,98.67689108071718,153.66582414300575,171.75023645678712,196.67061899258232,227.8218909975094,91.55213810625582,160.0,276.1669929025709,16.97541015186995,253.9892274905404,0,181.77130450156974,176.41948089938265,90.73751325811202,144.3035634550394,110.97661530612442,192.69077398415692,198.5376953136527,190.39927508252194,200.89457418430558,81.70097645542678,245.74918158130527,312.9983204285191,81.72171806042061,186.15446802341236
Natarajasana,images (1).jpeg,170.0,170.0,20.0,140.5790662543448,140.00753062648033,170.0,218.6705657348028,201.6261472587239,172.95459984820835,152.04176778537322,160.0,300.0,0.0,188.5881170889772,0,183.06691604964078,198.43232763343943,73.12441085337781,56.78877880573087,127.99817199910683,160.0198415581932,198.66070473672852,164.0321216115475,134.17376325212692,86.52630841794718,194.73023789103544,324.22163084750105,163.4367236724491,220.60271269550833
Natarajasana,images (2).jpeg,167.6517766947078,170.0,160.0,83.75222547607581,168.2075238822658,170.0,179.95235917656495,163.96673922154235,214.96286861815955,125.43521659381976,160.0,279.6283167292966,108.88009671778345,330.0,0,170.9401166576024,176.87272811339636,124.66619192313064,99.44705002451664,173.8235072192541,189.93155612283815,207.83316756306698,190.0363339654861,196.77750440921736,99.31074837882414,252.16864475290186,309.6300843877236,109.64048136266587,218.53857721436782
Natarajasana,images (4).jpeg,170.0,170.0,160.0,144.32101469719487,120.17893173660836,170.0,226.3680859853615,114.16421961583004,217.2258323768969,146.00105052684984,160.0,221.9901435733569,128.38547786062128,317.5114149327308,0,175.85227912927414,176.0052767620158,73.03272707817474,107.19539996307122,174.80838562556875,179.21172012279027,245.52514589213635,158.25731819078754,211.2206224096412,170.7603441820158,244.29522234882785,312.0285645006615,139.56204761613327,220.16342866375214
Natarajasana,images (5).jpeg,170.0,156.6975165678325,160.0,107.6925939287789,170.0,170.0,256.3475398851396,149.4636441115049,210.81318422551217,160.0,160.0,273.22652516030314,131.67710705491513,307.6562321087727,0,163.06531816724856,178.87341961474243,103.58404943369857,83.10210762688592,185.11427547907124,167.60820248906083,223.6340589402941,112.89085349354927,189.39605479319405,119.13003061641939,280.4212776260617,312.7991803759385,122.61343521864806,229.498298018296
Natarajasana,images (6).jpeg,155.59786683648025,167.70650961661138,123.77608158509676,96.92519779823388,170.0,170.0,220.78079402580573,163.5714537332203,183.09277429358855,136.81681438552073,160.0,273.5906583427222,113.17605297830724,330.0,0,170.27561654467223,186.74151056545782,108.52458154170837,84.13242669212077,173.05589339494543,182.042477731978,208.2166728973849,164.57590588495594,199.81221274981112,138.55656638919712,248.68640525151335,314.1148040846593,132.06443264159404,221.1882290497139
Natarajasana,images (7).jpeg,170.0,170.0,74.69576207969074,160.0,83.8557002448026,170.0,202.70310133281964,183.9629730443709,243.6056710608269,98.823103834065,160.0,300.0,0.0,227.0476270078904,0,178.99442849145984,201.39648893831117,76.82839321128503,159.73528700799324,97.1397131492564,188.0974162480724,197.4315233786184,178.89609445497237,219.9242834479926,88.4268172598062,217.1844347472967,325.4519344714471,43.03174041974864,188.773584462018
Natarajasana,images (8).jpeg,165.7639287505082,163.47749556012434,80.86167416077845,93.65853731212756,168.8322426654994,170.0,235.22981724922403,171.0184497912102,212.50611797140243,160.0,160.0,300.0,153.2999385160494,330.0,0,166.01660331887535,188.50013880598152,118.96371828719442,124.31051824818977,180.72593525231048,163.9926430967175,201.5424018589919,126.52405213983036,187.551797204151,154.66178605149625,283.12389944341663,311.5435786775236,124.28936188178331,230.62501050697432
Natarajasana,images.jpeg,165.55752699187963,170.0,160.0,98.18909349562416,170.0,170.0,186.09203325664689,187.36158229251825,174.60653275021906,127.64602420495736,160.0,270.8929729671232,123.13743320404508,330.0,0,169.99584858999407,188.35758329319097,106.2054166414371,82.92416763641522,176.5432553638172,189.75486483310698,201.103989326877,188.09096508109926,205.8210570539485,144.35234662795557,249.17369517774947,310.6085618022571,120.34815589346579,206.95256293148992
Natarajasana,istockphoto-1009742128-612x612.jpg,148.9117610287463,157.4220257722449,160.0,62.55403813856475,167.63675552289567,170.0,222.6696207767784,143.48868661069827,216.2583150314654,132.9340151216717,160.0,269.2251704511782,149.46527894010785,330.0,0,160.27113297746794,188.0488207367835,120.45152347273599,95.71032893674828,181.70146285669753,182.52748143747763,226.20033577448334,164.85205823116905,194.06454995880466,157.80546378907434,244.0481505903632,299.2066576664985,137.14809650742697,233.85913814874584
Natarajasana,istockphoto-1028181410-612x612.jpg,170.0,170.0,160.0,49.67367229834437,170.0,170.0,200.03768326300096,148.95908997804372,162.606287153155,93.1795919333138,160.0,275.20622580927625,90.06880668975573,330.0,0,171.82700945973133,188.13016790476024,110.88439762965803,75.83568117050228,177.53783347839598,185.91376218457242,223.9394780357851,170.93583295840168,179.02528318297558,90.2811127171506,237.437004944915,298.1928353407436,98.4364543775652,212.08474846231334
Natarajasana,istockphoto-1150555113-612x612.jpg,170.0,160.4740462605626,28.18481273441345,151.41327363701026,107.80784338656248,170.0,212.59171451757797,180.67009000238056,223.68996462216225,117.42967826510908,160.0,300.0,5.104316697651246,269.6217215980725,0,179.33725197138907,197.6366605359895,71.81618024141137,62.117656502217436,136.0069116667903,164.49516267971535,197.21910963827352,172.3008013500841,141.89653621082337,89.51497047550505,248.35312273723457,326.5514208832194,111.51623041950816,201.97302359888732
Natarajasana,istockphoto-1150556260-612x612.jpg,139.49311290244276,170.0,160.0,58.33457230294826,142.54230349389138,170.0,164.43119060367945,124.73051615504924,177.17918329868544,94.17801705115409,160.0,251.43992173623988,94.31897018034206,330.0,0,175.155688278843,195.0402605832428,115.54148851120425,88.58053552213147,192.47194384958993,187.8798405778673,245.2144982808706,181.84938754167118,203.33815673337358,95.74809525240353,237.4389118904358,296.61671518326904,133.2564584084683,192.732040532248
